"","Material","Name..global...english","Chemical.group","Phase","CAS.no._1","CAS.no._2","CAS.no._3"
"254",107288,"HYDROXYAMBRAN","ALCOHOL","","118562-73-5",NA,NA
"255",103493,"ISOAMYL ACETATE NAT.","ESTER","","123-92-2",NA,NA
"256",164115,"ISOAMYL ALCOHOL","ALCOHOL","","123-51-3",NA,NA
"257",613013,"ISOAMYL BENZOATE","ESTER","","94-46-2",NA,NA
"258",611037,"ISOAMYL ISOVALERATE","ESTER","","659-70-1",NA,NA
"259",104578,"ISOAMYL PHENYL ACETATE","ESTER","","102-19-2",NA,NA
"260",104141,"ISOAMYL SALICYLATE","ESTER","","87-20-7",NA,NA
"261",103263,"ISOBORNEOL","ALCOHOL","","124-76-5",NA,NA
"262",130453,"ISOBORNYL ACETATE","ESTER","","125-12-2",NA,NA
"263",184367,"ISOBORNYL CYCLOHEXANOL","ALCOHOL","","3407-42-9",NA,NA
"264",131237,"ISOBORNYL PROPIONATE","ESTER","","2756-56-1",NA,NA
"265",104756,"ISOBUTYL ACETATE","ESTER","","110-19-0",NA,NA
"266",660181,"ISOBUTYL CINNAMATE","ESTER","","122-67-8",NA,NA
"267",105390,"ISOBUTYL ISOBUTYRATE","ESTER","","97-85-8",NA,NA
"268",131239,"ISOBUTYL METHOXYPYRAZINE-3,2","HETEROCYCLIC","","24683-00-9",NA,NA
"269",105174,"ISOBUTYL PHENYLACETATE","ESTER","","102-13-6",NA,NA
"270",103831,"ISOBUTYL QUINOLINE","HETEROCYCLIC","","68198-80-1",NA,NA
"271",104354,"ISOBUTYL QUINOLINE DL 100%","HETEROCYCLIC","","65442-31-1",NA,NA
"272",105683,"ISOBUTYL SALICYLATE","ESTER","","87-19-4",NA,NA
"273",131275,"ISODAMASCON¨","KETONE","","39872-57-6",NA,NA
"274",103296,"ISODODECANE","HYDROCARBON","","31807-55-3","93685-81-5",NA
"275",104768,"ISOEUGENOL","PHENOL","","97-54-1",NA,NA
"276",103615,"ISOEUGENYL ACETATE","ESTER","S","93-29-8",NA,NA
