"","AKOS.smile","CID","CanonicalSMILES","density.g.cm3","MW","AKOS","weight..g.","stored"
"366","OC1CCC2C(C1)CCC(C2)C(C)C",94453,"CC(C)C1CCC2CC(CCC2C1)O",,196.334,"006278456",,
"352","OC1CC(C)(C)CC(C1)(C)C",75851,"CC1(CC(CC(C1)(C)C)O)C",,156.269,"006282591",,
"369","OC1CCCC=CCC1",98392,"C1CC=CCCC(C1)O",,126.199,"006292831",,
"204","CCOC(=O)c1ccc(cc1C)F",18920184,"CCOC(=O)C1=C(C=C(C=C1)F)C",,182.194,"006293745",,
"218","CCOC(=O)CC1CCC(=O)CC1",12666966,"CCOC(=O)CC1CCC(=O)CC1",,184.235,"006307852",,
"10","C[C@@H]1CC[C@@H]([C@H](C1)O)C(C)C",45056,"CC1CCC(C(C1)O)C(C)C",0.904,156.269,"007929949",,
"179","CCOC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F",526468,"CCOC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F",,392.116,"007930396",,
"177","CCOC(=O)C(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F",2737219,"CCOC(=O)C(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F",,474.141,"007930408",,
"178","CCOC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F",76555,"CCOC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F",,442.124,"007930416",,
"290","O=C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F",56587774,"C(C(C(C(F)(F)F)(F)F)(F)F)OC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F",,546.103,"007930419",,
"209","CCOC(=O)c1cccc(c1)F",67975,"CCOC(=O)C1=CC(=CC=C1)F",,168.167,"007930445",,
"336","OC/C(=C\C(C(C(F)(F)F)(F)F)(F)F)/I",5376505,"C(C(=CC(C(C(F)(F)F)(F)F)(F)F)I)O",,351.99,"007930588",,
"345","OC/C=C/C(C(C(F)(F)F)(F)F)(C(F)(F)F)F",5708540,"C(C=CC(C(C(F)(F)F)(F)F)(C(F)(F)F)F)O",,276.102,"007930777",,
"242","COC(=O)/C=C/c1ccc(cc1)C(=O)OC",5375161,"COC(=O)C=CC1=CC=C(C=C1)C(=O)OC",,220.224,"008392074",,
"245","COC(=O)c1cc(C)cc(c1)C",32786,"CC1=CC(=CC(=C1)C(=O)OC)C",,164.204,"008904378",,
"266","COC(=O)CC1CCCCC1",139743,"COC(=O)CC1CCCCC1",,156.225,"008910111",,
"219","CCOC(=O)CC1CCCC1",247667,"CCOC(=O)CC1CCCC1",,156.225,"008947756",,
"210","CCOC(=O)c1cccc(c1C)C",22448154,"CCOC(=O)C1=C(C(=CC=C1)C)C",,178.231,"008947842",,
"182","CCOC(=O)c1c(F)cccc1F",519631,"CCOC(=O)C1=C(C=CC=C1F)F",,186.158,"008947914",,
"217","CCOC(=O)c1ccccc1F",67953,"CCOC(=O)C1=CC=CC=C1F",,168.167,"008948024",,
"272","COCc1ccc(cc1)C(=O)OC",15247548,"COCC1=CC=C(C=C1)C(=O)OC",,180.203,"008954989",,
"186","CCOC(=O)c1ccc(c(c1)F)C",13489923,"CCOC(=O)C1=CC(=C(C=C1)C)F",,182.194,"009147067",,
