,AKOS.smile,CID,CanonicalSMILES,density.g.cm3,MW,AKOS,quantity (g),stored,,,
222,CCOC(=O)CCC(CCC(=O)OCC)F,28306167,CCOC(=O)CCC(CCC(=O)OCC)F,,234.267,5254800,,,,,
6,BrCCCCCCCCCCCCCCCC(=O)OC,2736822,COC(=O)CCCCCCCCCCCCCCCBr,,349.353,5254954,,,,,
277,O[C@@H]1C[C@@H]2C[C@H]([C@]1(C)O)C2(C)C,10219606,CC1(C2CC1C(C(C2)O)(C)O)C,,170.252,5256255,0.01000,fridge,,,
295,O=C(c1cccc(c1)C(F)(F)F)OC(=O)c1cccc(c1)C(F)(F)F,599431,C1=CC(=CC(=C1)C(F)(F)F)C(=O)OC(=O)C2=CC(=CC=C2)C(F)(F)F,,362.227,5256936,,,,,
205,CCOC(=O)c1cccc(c1)C(F)(F)F,144790,CCOC(=O)C1=CC(=CC=C1)C(F)(F)F,,218.175,5257791,0.01000,,,,
203,CCOC(=O)c1ccc(cc1)I,142891,CCOC(=O)C1=CC=C(C=C1)I,,276.073,5258847,0.01000,,,,
320,OC(=O)CCCCCCCCCCCC(=O)O,10458,C(CCCCCC(=O)O)CCCCCC(=O)O,,244.331,5381208,0.01020,,,,
126,CCCCCC/C=C/C(=O)OC,5368076,CCCCCCC=CC(=O)OC,,170.252,5381295,did not pass QC,do not have,,,
411,OCCCCCCCCCCC(=O)O,77237,C(CCCCCO)CCCCC(=O)O,,202.294,5394200,0.01010,,,,
45,CC(CCOC(=O)c1ccccc1)C,7193,CC(C)CCOC(=O)C1=CC=CC=C1,,192.258,5720808,did not pass QC,do not have,,,
112,CCCCC/C=C\C,5356796,CCCCCC=CC,,112.216,6228003,,,,,
91,CCCC/C=C\CCCC,5364449,CCCCC=CCCCC,,140.27,6228218,0.01610,,,,
377,OCC(C1CCCCC1)C,79509,CC(CO)C1CCCCC1,,142.242,6228465,0.01000,,,,
236,CCOC(=O)CCCCCC(=O)O,118383,CCOC(=O)CCCCCC(=O)O,,188.223,6228602,,,,,
117,CCCCc1ccc(cc1)C(=O)OC,88630,CCCCC1=CC=C(C=C1)C(=O)OC,,192.258,6229551,0.01000,,,,
60,CC1CCC(C(C1)O)C,97959,CC1CCC(C(C1)O)C,,128.215,6229596,0.01030,,,,
18,C/C=C\CCCO,5365589,CC=CCCCO,,100.161,6230030,,,,,
125,CCCCCC/C=C/C(=O)O,5312586,CCCCCCC=CC(=O)O,,156.225,6230171,0.01000,fridge,,,
287,O[C@@H]1CCCC[C@H]1C(C)(C)C,6995537,CC(C)(C)C1CCCCC1O,,156.269,6237378,,,,,
196,CCOC(=O)c1ccc(cc1)C=O,80498,CCOC(=O)C1=CC=C(C=C1)C=O,,178.187,6240956,,,,,
214,CCOC(=O)c1ccccc1C=O,10943020,CCOC(=O)C1=CC=CC=C1C=O,,178.187,6242421,,,,,
314,O=CCCCCCC(=O)OC,3015770,COC(=O)CCCCCC=O,,158.197,6272656,,,,,
21,C=CC(=C)C[C@@H](C=C(C)C)O,92301,CC(=CC(CC(=C)C=C)O)C,,152.237,6272671,,,,,
68,CCC(/C=C/C=O)O,5283314,CCC(C=CC=O)O,,114.144,6273451,,,,,
,,,,,,6274124,0.01000,analogue for cancelled one,,,
32,CC(/C=C/C(O)(C)C)(O)C,5875483,CC(C)(C=CC(C)(C)O)O,,144.214,6274274,,,,,
16,C/C(=C\C)/CO,6433417,CC=C(C)CO,,86.134,6274657,,,,,
350,OC1[C@H]2C[C@@H]3C[C@H]1C[C@@](C2)(C3)O,6925928,C1C2CC3CC(C2)(CC1C3O)O,,168.236,6275755,,,,,
26,C=CCc1ccccc1C(=O)OCC,9920599,CCOC(=O)C1=CC=CC=C1CC=C,,190.242,6275879,,,,,
25,C=CCc1cccc(c1)C(=O)OCC,12070479,CCOC(=O)C1=CC(=CC=C1)CC=C,,190.242,6275880,,,,,
199,CCOC(=O)c1ccc(cc1)CC=C,11263974,CCOC(=O)C1=CC=C(C=C1)CC=C,,190.242,6275881,,,,,
104,CCCCC(CCC(=O)OCC)C,92058,CCCCC(C)CCC(=O)OCC,,186.295,6276325,,,,,
70,CCC(=O)CCCCCC(=O)O,545982,CCC(=O)CCCCCC(=O)O,,172.224,6277607,,,,,
101,CCCCC(=O)CCCCC(=O)O,5282983,CCCCC(=O)CCCCC(=O)O,,186.251,6277609,,,,,
82,CCCC(=O)CCCCC(=O)O,5282981,CCCC(=O)CCCCC(=O)O,,172.224,6277890,,,,,
83,CCCC(=O)CCCCCC(=O)O,5312882,CCCC(=O)CCCCCC(=O)O,,186.251,6277891,,,,,
225,CCOC(=O)CCCCC(=O)C1CC1,24727443,CCOC(=O)CCCCC(=O)C1CC1,,198.262,6278161,,,,,
223,CCOC(=O)CCCC(=O)CC,12487640,CCC(=O)CCCC(=O)OCC,,172.224,6278162,,,,,
71,CCC(=O)CCCCCCC(=O)O,5282984,CCC(=O)CCCCCCC(=O)O,,186.251,6278403,,,,,
228,CCOC(=O)CCCCC(=O)CC,282994,CCC(=O)CCCCC(=O)OCC,,186.251,6278411,,,,,
366,OC1CCC2C(C1)CCC(C2)C(C)C,94453,CC(C)C1CCC2CC(CCC2C1)O,,196.334,6278456,,,,,
352,OC1CC(C)(C)CC(C1)(C)C,75851,CC1(CC(CC(C1)(C)C)O)C,,156.269,6282591,0.01250,,,,
369,OC1CCCC=CCC1,98392,C1CC=CCCC(C1)O,,126.199,6292831,,,,,
204,CCOC(=O)c1ccc(cc1C)F,18920184,CCOC(=O)C1=C(C=C(C=C1)F)C,,182.194,6293745,0.01030,,,,
218,CCOC(=O)CC1CCC(=O)CC1,12666966,CCOC(=O)CC1CCC(=O)CC1,,184.235,6307852,,,,,
10,C[C@@H]1CC[C@@H]([C@H](C1)O)C(C)C,45056,CC1CCC(C(C1)O)C(C)C,0.904,156.269,7929949,,,,,
179,CCOC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,526468,CCOC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,392.116,7930396,,,,,
177,CCOC(=O)C(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2737219,CCOC(=O)C(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,474.141,7930408,,,,,
178,CCOC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,76555,CCOC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,442.124,7930416,,,,,
290,O=C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F,56587774,C(C(C(C(F)(F)F)(F)F)(F)F)OC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,546.103,7930419,,,,,
209,CCOC(=O)c1cccc(c1)F,67975,CCOC(=O)C1=CC(=CC=C1)F,,168.167,7930445,did not pass QC,do not have,,,
336,OC/C(=C\C(C(C(F)(F)F)(F)F)(F)F)/I,5376505,C(C(=CC(C(C(F)(F)F)(F)F)(F)F)I)O,,351.99,7930588,,,,,
345,OC/C=C/C(C(C(F)(F)F)(F)F)(C(F)(F)F)F,5708540,C(C=CC(C(C(F)(F)F)(F)F)(C(F)(F)F)F)O,,276.102,7930777,,,,,
242,COC(=O)/C=C/c1ccc(cc1)C(=O)OC,5375161,COC(=O)C=CC1=CC=C(C=C1)C(=O)OC,,220.224,8392074,0.01000,,,,
245,COC(=O)c1cc(C)cc(c1)C,32786,CC1=CC(=CC(=C1)C(=O)OC)C,,164.204,8904378,0.01000,,,,
266,COC(=O)CC1CCCCC1,139743,COC(=O)CC1CCCCC1,,156.225,8910111,0.01020,,,,
219,CCOC(=O)CC1CCCC1,247667,CCOC(=O)CC1CCCC1,,156.225,8947756,0.01000,,,,
210,CCOC(=O)c1cccc(c1C)C,22448154,CCOC(=O)C1=C(C(=CC=C1)C)C,,178.231,8947842,0.01000,,,,
182,CCOC(=O)c1c(F)cccc1F,519631,CCOC(=O)C1=C(C=CC=C1F)F,,186.158,8947914,0.01000,,,,
217,CCOC(=O)c1ccccc1F,67953,CCOC(=O)C1=CC=CC=C1F,,168.167,8948024,0.01000,,,,
272,COCc1ccc(cc1)C(=O)OC,15247548,COCC1=CC=C(C=C1)C(=O)OC,,180.203,8954989,0.01000,,,,
186,CCOC(=O)c1ccc(c(c1)F)C,13489923,CCOC(=O)C1=CC(=C(C=C1)C)F,,182.194,9147067,0.01000,,,,
405,OCCCCCC(=O)OCC,357781,CCOC(=O)CCCCCO,,160.213,9156692,cancelled,,giving analogue ,,AKOS006274124
58,CC1CC(C)CC(C1)O,21584,CC1CC(CC(C1)O)C,,128.215,9156899,0.01030,,,,
75,CCC(C1CCCCC1)O,86535,CCC(C1CCCCC1)O,,142.242,9157140,0.01000,,,,
40,CC(C1CCCCC1)O,137829,CC(C1CCCCC1)O,,128.215,9157819,0.01030,,,,
56,CC1=CC(CCC1)O,89487,CC1=CC(CCC1)O,,112.172,9158570,0.01000,,,,
63,CC1CCCC(C1)(C)O,558957,CC1CCCC(C1)(C)O,,128.215,9996015,0.01000,,,,
66,CC1CCCCC1(C)O,164822,CC1CCCCC1(C)O,,128.215,9996121,0.01010,,,,
119,CCCCCC(=O)CC(=O)C(=O)OCC,12777406,CCCCCC(=O)CC(=O)C(=O)OCC,,214.261,10652650,0.01000,,,,
100,CCCCC(=O)CCC(=O)OCC,11830138,CCCCC(=O)CCC(=O)OCC,,186.251,10910401,0.01000,,,,
81,CCCC(=O)CCC(=O)OCC,12271529,CCCC(=O)CCC(=O)OCC,,172.224,10910511,0.01000,,,,
120,CCCCCC(=O)CCC(=O)OCC,12441329,CCCCCC(=O)CCC(=O)OCC,,200.278,10910614,0.01000,,,,
103,CCCCC(C(C)(C)C)O,140543,CCCCC(C(C)(C)C)O,,144.258,11018651,0.02130,,,,
39,CC(C1CCC(CC1)O)C,20739,CC(C)C1CCC(CC1)O,,142.242,12000610,0.01000,,,,
184,CCOC(=O)c1cc(F)c(c(c1)F)F,46311439,CCOC(=O)C1=CC(=C(C(=C1)F)F)F,,204.148,12488407,0.01000,,,,
240,CCOCCCCCC(=O)O,23190866,CCOCCCCCC(=O)O,,160.213,13620056,0.01000,,,,
136,CCCCCCC(CO)C,102495,CCCCCCC(C)CO,,144.258,13993199,0.01000,,,,
327,OC[C@@H]1CC[C@H](CC1)CO,7735,C1CC(CCC1CO)CO,,144.214,15833096,0.01020,,,,
147,CCCCCCCCC(C(=O)OCC)Br,95581,CCCCCCCCC(C(=O)OCC)Br,,279.218,15833920,,,,,
3,BrCCCCCCC(=O)OCC,122490,CCOC(=O)CCCCCCBr,,237.137,15836154,,,,,
4,BrCCCCCCCC(=O)OCC,264813,CCOC(=O)CCCCCCCBr,,251.164,15836156,,,,,
281,O[C@@H]1CC[C@H](CC1)C(C)(C)C,7391,CC(C)(C)C1CCC(CC1)O,,156.269,15837822,,,,,
