X,CID,CanonicalSMILES,AKOS,phase,density.g.cm3,MW,csid,density
129,578221,CC1(C2CC3C1(C3C2)C)CO,24262936,S,NA,152.237,502617,1.1
130,11831365,COC(=O)CCCCCCCCC(CF)O,24263949,S,NA,234.311,10006012,1.0
131,15568593,CC(C)(C(C1CCCCC1)O)O,24263952,S,NA,172.268,34965833,1.0
132,11022861,COC(=O)CCCCCCCCC(CBr)F,24263961,S,NA,297.208,9198043,1.2
133,6436867,CC=CCCCCCCCCO,24264141,S,NA,170.296,4941474,0.8
134,87212466,C(CCCCO)CCCC=CCCCCCCCCO,26669941,S,NA,284.484,26324082,0.9
135,11832052,C(CCCC=CCCCCCCCO)CCCO,26669942,S,NA,256.43,10006699,0.9
136,2773251,B(C1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2)(O)O,1539322,S,NA,256.064,2053673,1.3
137,2734363,B(C1=CC(=CC=C1)C(=O)OC(C)C)(O)O,15838554,S,NA,208.02,2016115,1.2
138,2734703,B(C1=CC=C(C=C1)C(=O)OC(C)C)(O)O,15838560,S,NA,208.02,2016447,1.2
139,2773249,B(C1=CC(=CC=C1)C(=O)OCC2=CC=CC=C2)(O)O,15839321,S,NA,256.064,2053671,1.3
140,13185,C(CCCCCCC(=O)O)CCCCCC(=O)O,15839774,S,NA,258.358,12630,1.0
141,89670,CCCCCCCCCCCC(=O)CC(=O)OC,15901948,S,NA,256.386,80932,0.9
142,4050097,CC12CC3CC(C1)(CC(C3)(C2)CO)C,1056900,S,NA,194.318,3265991,1.1
143,5375161,COC(=O)C=CC1=CC=C(C=C1)C(=O)OC,8392074,S,NA,220.224,4524714,1.2
144,46311439,CCOC(=O)C1=CC(=C(C(=C1)F)F)F,12488407,S,NA,204.148,23348722,1.3
145,6442063,CCCCCCCCCC=CC=CC=CC=CC=CC=CC(=O)O,16013070,,NA,328.496,4946166,0.9
146,67878,COC(=O)C1=CC=C(C=C1)F,295905,,1.19,154.14,61195,1.2
147,67854,COC(=O)C1=CC=CC=C1F,1428541,,NA,154.14,61171,1.2
148,142891,CCOC(=O)C1=CC=C(C=C1)I,5258847,,NA,276.073,126059,1.7
149,88630,CCCCC1=CC=C(C=C1)C(=O)OC,6229551,,NA,192.258,79968,1.0
150,67953,CCOC(=O)C1=CC=CC=C1F,8948024,,NA,168.167,61268,1.1
151,11275239,C=CCCCC(CCCC=C)O,25141964,,NA,168.28,9450239,0.8
152,164822,CC1CCCCC1(C)O,9996121,,NA,128.215,144494,0.9
153,137829,CC(C1CCCCC1)O,9157819,,NA,128.215,121479,0.9
154,557637,CC1(CCCCC1O)C,18400514,,NA,128.215,484756,0.9
155,2750694,CCC1(CCCC(C1)C)O,4906078,,NA,142.242,2031956,0.9
156,2750695,CCC1(CC(CCC1C)C(C)C)O,4906087,,NA,184.323,2031957,0.9
157,86850,CC1CCC(CC1O)C(C)C,4906088,,NA,156.269,78347,0.9
158,8139,CCCCCCCCCCCC(=O)OC,4910323,,NA,214.349,7847,0.9
159,31284,CCCCCCCCCCCCCC(=O)OC,4910358,,NA,242.403,29024,0.9
160,5364449,CCCCC=CCCCC,6228218,,NA,140.27,553406,0.7
161,140543,CCCCC(C(C)(C)C)O,11018651,,NA,144.258,123957,0.8
162,643789,CC=CCO,16009829,,NA,72.107,13871721,0.8
163,84820164,CC(=C)CCCCCC(=C)CO,24262779,,NA,168.28,29785549,0.9
164,12397158,CCCCCCC=CC=CC,24262869,,NA,152.281,14665618,0.8
165,84820213,CCCCCC=CC(C)(C)C,24262871,,NA,154.297,29785594,0.8
166,84820215,CC(C)(C)C=CC=CC(C(C)(C)C)O,24262873,,NA,196.334,29786083,0.9
167,5364444,CCCCCCC=CCCCC,24262897,,NA,168.324,4516597,0.8
168,12525554,CCCCCC=CC(C)C=C,24262911,,NA,152.281,29786087,0.8
169,15527754,CCCCCCC(C(=CC)C)O,24262916,,NA,170.296,29786088,0.8
170,14840125,CCC=CCCCCC=CCC,24263044,,NA,166.308,4517555,0.8
171,5365981,CCCCCC=CC(C)C,24263045,,NA,140.27,4517914,0.7
172,84820295,CCCCCC=CC(C)(C)C,24263046,,NA,154.297,29785594,0.8
173,84820296,CCCCCC=CC(C)C,24263047,,NA,141.276,4517914,0.7
